State Name (state_name),State Code (state_code),Forest division name (division),Forest range name (range),Forest Conservation Act project (fca_project),Year of initiation of project (fca_project_year),Name of the site (site_name),Area diverted in hectares (area_diverted),Type of land (land_type),Updated on (updated_on),Updated by (updated_by),Diverted land GPS identifier (diverted_land_gps_id),
Uttarakhand,5,"DFO Almora , Almora","RO Ranikhet ,Almora",KALIKA- DALMORI MOTOR ROAD [6517],2006,kaligaar abd dalmoti,4.86,Reserved Forest (RF),07-08-2015,"DFO Almora , Almora",4556,
Madhya Pradesh,23,Balaghat North(T),South Lamta,UPPER BAN GANGA PROJECT (SANJAY SAROVAR PROJECT) [1325],2002,879,19.619,Reserved Forest (RF),06-12-2014,DFO Balaghat North(T),2581,
Himachal Pradesh,2,Kullu,Bhutti,Const of 4.50 MW Sarwari-II Hydro Electric Project in favour of DSL Hydro Watt Ltd. Under Kullu Forest Division. [6143],2008,Sarwari Project-II Darka,1.8,Unclassified Forest,13-05-2015,DFO Kullu,3909,
Madhya Pradesh,23,Balaghat North(T),South Lamta,UPPER BAN GANGA PROJECT (SANJAY SAROVAR PROJECT) [1325],2002,887,4.727,Reserved Forest (RF),06-12-2014,DFO Balaghat North(T),2584,
Haryana,6,Sonipat,Sonipat,APPRAOCH ROAD TO THE RETAIL OUTLET KSK OF IOCL ON ROLAD LATIFPUR-SARGTHAL ROAD NEAR KM. STONE 4 AT VILLAGE ROLAD LATIFPUR [18908],2008,53D13,0.005,Protected Forest (PF),03-05-2017,DFO Sonipat,9091,
Uttarakhand,5,"DFO Pithoragarh ,Pithoragarh",RO Munsiari Pithoragarh,SHILPI VIPINAN KENDRA SARMOLI [6721],2004,SHILPI VIPINAN KENDRA SARMOLI,0.1,Revenue Forest,01-10-2015,"DFO Pithoragarh ,Pithoragarh",6140,
Andhra Pradesh,28,Paloncha,Ashwapuram,"OCP - II Manuguru Phase - III, Kondapur Extension ( 286.25 Ha.) (SZA 46.88 Ha.,) [272]",1997,NO,286.25,Proposed Protected Forest (Proposed PF),30-07-2014,AP State Admin,1641,
Punjab,3,Dasuya,Dasuya,APPROACH ROAD TO H/L BRIDGE [21026],1997,High Level Bridge Over river beas at Shri hargobindpur road,0.728,Protected Forest (PF),27-11-2015,DFO Dasuya,6776,
Madhya Pradesh,23,Murena(T),Joura,765 K.V. Gwalior-jaipur Transmission line [32545],2012,Kulaith-A/ Comp. no. - 44,8.71,Reserved Forest (RF),13-05-2020,DFO Murena(T),11090,
Haryana,6,Kurukshetra,Thanesar,WIDENING OF THANESAR PEHOWA ROAD FROM GURDWARA CHOWK TO 3RD GATE OF KURUKSHETRA UNIVERSITY [27690],1999,6th pathsahi gurudwara to 3rd gate,1.92,Protected Forest (PF),11-05-2018,DFO Kurukshetra,10431,
Uttarakhand,5,"DFO Terai East , Haldwani","RO Ransali , TEFD",CONSTRUCTION OF CHITALBAGH HARAIYA TO SARAUJA MOTOR ROAD UNDER PM ROAD [23171],2005,"Saronja Block Compt. 2, 4",3.6,Reserved Forest (RF),05-06-2015,"DFO Terai East , Haldwani",3990,
Gujarat,24,Ahmedabad SF,Ahmedabad city SF,LAYING OPTICAL FIBRE CABALE ALONG PROTECTED FOREST ROAD BY TATA TELESERIES [18017],2005,VIRAMGAM-CHANASMA ROAD,2.18,Protected Forest (PF),05-01-2015,DFO Ahmedabad SF,2933,
Andhra Pradesh,28,Kakinada,Rampachodavaram,33 KV Line [376],2006,no,0.986,Reserved Forest (RF),13-02-2017,DFO Kakinada,8615,
Haryana,6,Mahendergarh,Narnaul,APPROACH ROAD TO RETAIL OUTLET OF IOCL AT VILLAGE GOD BALAHA ON NARNAUL-SINGHANA ROAD NEAR KM STONE NO. 16 L/S [18665],2011,GOD BALAHA ON NARNAUL-SINGHANA ROAD NEAR KM STONE NO. 16 L/S,0.013,Protected Forest (PF),07-10-2017,DFO Mahendergarh,9755,
Punjab,3,Jalandhar,Kapurthala,APPROACH ROAD TO PETROL PUMP ONKAPURTHALA NAKODAR RAOD [21841],2001,Diversion of 0.023 ha (instead of 0.036 ha) of Forest land for approach road to petrol pump at Rajpu,0.036,Protected Forest (PF),29-08-2017,DFO Jalandhar,9620,
Haryana,6,Gurgaon,Gurgaon,Gurgaon-Kotputli-Jaipur Section of NH-8 [35522],2016,Gurgaon-Kotputli-Jaipur Section of NH-8,8.6,Protected Forest (PF),18-06-2021,DFO Gurgaon,12241,
Punjab,3,Sangrur,Malerkotla,APP.RD. TO M/S AP SOLVEX LTD. AT VILL. MANAWALA [20734],2006,Vill Manawala,0.002,CA Land Received under FCA Proposal,01-08-2016,DFO Sangrur,7856,
Punjab,3,Ludhiana,Jagraon,"MINI HYDAL PLANT ON ABOHAR CANAL AT NARANGWAL, RD-67500 BY PEDA [20561]",1994,ABOHAR CANAL Village Narangwal,0.702,Protected Forest (PF),06-07-2018,DFO Ludhiana,10503,
Himachal Pradesh,2,Rohru,Rohru,Const of Machoti-Bari Road(Rohru Ft Div) [5430],2019,DPF Bari,2.075,CA Land Received under FCA Proposal,29-12-2016,DFO Rohru,8272,
Punjab,3,Sangrur,Sangrur,div.of 0.0036 ha of forest land for passage to retail outlet (IOC LTD)ON uppli-sunam-chatte km.4-5 l/s at village uppli under forest division and dis [21101],2012,sangrur-uppli-chithe rd km 4-5 l/s,0.004,Deemed Forest,25-09-2014,DFO Sangrur,2066,
Punjab,3,Jalandhar,Kapurthala,Up-Gradation of Link RoadJalandhar-Kapurthala road to Razapur Kular road under PMGSY [37262],2017,Jalandhar-Kapurthala road to Razapur Kular road under PMGSY,4.002,Protected Forest (PF),26-07-2018,DFO Jalandhar,10549,
Punjab,3,Amritsar,Amritsar-2,APP.RD. TO RETAIL OUTLET OF IOCL. AT VILL. KHANDWALA [22196],2006,APP.RD. TO RETAIL OUTLET OF IOCL. AT VILL. KHANDWALA ON CHHEHARTA PUTLIGHAR ROAD L/S,0.023,Protected Forest (PF),07-12-2015,DFO Amritsar,6875,
Tripura,16,District Forest Officer SEPAHIJALA,Jampuijala,Diversion of 1.83 ha of forest land for drilling operation by ONGC at drill site ADA-B[DOM-AB] under Sadar Forest Division. West Tripura District. [1226],2000,Drilling operation by ONGC at drill site ADA-B[DOM-AB].,1.83,Reserved Forest (RF),16-11-2016,TR State Admin,8067,
Uttar Pradesh,9,Social Forestry Division Budaun,Sahakwan,"IOCL Retail Outlet on Meerut Ã¢ÂÂ Budaun Marg (SH-18), In KM Stone No. 172 (171.646 LHS), At Gata No. 282, Village: Usmanpur, Pargana- Sahaswan , Tehsil-Sahaswan , District: Budaun (Uttar Pradesh).",2022,"Meerut Ã¢ÂÂ Budaun Marg (SH-18), In KM Stone No. 172 (171.646 LHS)",0.203,Protected Forest (PF),20-01-2022,DFO Social Forestry Division Budaun,12896,
Madhya Pradesh,23,Shajapur(T),Agar,"Mumbai, Manmad, Manglia Petrolium Pipeline Vistar Piyala Bijvasan Tak [2834]",2006,365,0.19,Protected Forest (PF),20-10-2012,DFO Shajapur(T),628,
Punjab,3,Jalandhar,Jalandhar,RETAIL OUTLET KALASINGH ROAD KM 1-2 L/S NEAR BASTI SHEITH [21298],2004,RETAIL OUTLET KALASINGH ROAD KM 1-2 L/S NEAR BASTI SHEITH,0.011,Protected Forest (PF),03-08-2017,DFO Jalandhar,9442,
Rajasthan,8,DCF Sikar,Shrimadhopur,Construction of approach road for proposed NAYARA ENergy Ltd,2021,Construction of approach road for proposed NAYARA ENergy Ltd,0.057,Proposed Protected Forest (Proposed PF),20-12-2021,DFO DCF Sikar,12786,
Punjab,3,Patiala,Bhadson,PERMISSION FOR APPRAOFH ROAD TO THE RETAIL OUTLET OF IOCL AT VILLAGE BHARI PANECHAN ON CHAHAL TO BHARI PANECHAN L/S [20163],2011,IOCL,0.009,Protected Forest (PF),12-08-2015,DFO Patiala,4602,
